spec_id,hyptan_modellm,tidied_sa,empty,D_sass,C_sass,D_error,C_error,D_sa_fs,C_sa_fs,data,k2,aelm,tidied_ae,seam,vintage,A_ae_fs,B_ae_fs,A_error,B_error,ct_mm,use_fs,use_fs_lo,use_fs_hi,t_20,t_20_error_dist,t_20_lo,t_20_hi,t_20_lo_dist,t_20_hi_dist,n
13032_0613-01_1943__Base_Transverse,,,FALSE,29.36173361577343,-19.596139100969705,14.173176050127223,22.826053268892466,51.36173361577343,-1.5961391009697046,,,,,,1940,8.745843528452214,0.30742204655246114,2.3373233597952026,4.358459734356807,3.3,9.053265575004675,2.3574824808526644,15.749048669156686,-7.069987186668335,35,-21.24316323679556,7.103188863458888,-42.069987186668335,27.930012813331665,6
13034_300A_1957__Base_Transverse,,,FALSE,40.94786033407256,-0.21110544751698226,4.792428362727493,6.680501248726559,40.94786033407256,-0.21110544751698226,,,,,,1950,15.003068704892877,2.3000511450815377,1.5602713544696527,3.2895184374279713,10,17.303119849974415,12.45333005807679,22.15290964187204,40.48922730779357,35,35.69679894506608,45.28165567052106,5.48922730779357,75.48922730779357,6
13044_118A_1931__Base_Transverse,,,FALSE,105.55850124671014,32.15875345671555,2.5629947867049596e-14,1.264485287286594e-14,111.01304670125559,33.37087466883676,,,,,,1930,35.41666666666626,30.624999999999556,21.899787543363168,22.82652727031034,8,66.04166666666582,21.31535185299231,110.76798148033932,94.2141029904128,35,94.21410299041277,94.21410299041283,59.2141029904128,129.2141029904128,6
13050_0605-03_1946__Base_Longitudinal,,,FALSE,40.961474432699674,-0.2806532568816886,2.879795787783929,3.251796695941693,54.961474432699674,5.719346743118312,,,,,,1940,43.94902497434144,42.562777967841264,0.9527448876201996,1.4487862278954842,5,86.5118029421827,84.11027182666702,88.91333405769838,51.743339138726384,35,48.86354335094246,54.62313492651031,16.743339138726384,86.74333913872638,12
13085_187_1952__Base_Transverse,,,FALSE,2.8369612696088686,132.76496409401054,10.959381087890824,37.345786106590744,21.542843622550045,145.8237876234223,,,,,,1950,11.1923076923077,22.6153846153846,4.201119884509806,14.779518652433618,4,33.8076923076923,14.827053770748874,52.78833084463572,78.33476091126383,35,67.37537982337301,89.29414199915465,43.33476091126383,113.33476091126383,6
13097_132_1944__Base_Transverse,,,FALSE,44.30261232562524,13.373936060910442,6.954189017559351,22.108926341643745,44.30261232562524,13.373936060910442,,,,,,1940,28.96053997923157,11.194184839044647,0.8273147957956308,2.7809130121497185,10,40.154724818276215,36.54649701033087,43.76295262622156,33.59726035256436,35,26.64307133500501,40.55144937012371,-1.402739647435638,68.59726035256436,6
13127_191-1_1973__Base_Transverse,,,FALSE,59.231733973088836,20.984849604961617,1.9426183587072863,2.0119834832228025,61.95900670036156,21.590910211022223,,,,,,1970,21.32436472346785,3.808669656203264,8.895471643166342,13.108498575529726,9,25.133034379671113,3.1290641609750445,47.137004598367184,54.45133541034366,35,52.508717051636374,56.393953769050945,19.45133541034366,89.45133541034366,6
13146_134A_1959__Base_Transverse,,,FALSE,47.53039190669323,10.762982718795007,6.01748573797687,7.813525779043256,55.71221008851141,12.581164536976825,,,,,,1950,17.204882840349182,7.54186536542087,0.2626561913339501,0.4632569645551731,7,24.746748205770054,24.02083504988093,25.472661361659178,60.37495957843576,35,54.35747384045889,66.39244531641262,25.374959578435757,95.37495957843575,6
13158_105C_1954__Base_Transverse,,,FALSE,73.51513437176087,28.301420109814213,18.277129001680315,15.641151862722047,80.33331618994268,29.81657162496573,,,,,,1950,36.918918918918905,33.25525525525523,2.032955405919481,2.5144515526760323,7.5,70.17417417417414,65.62676721557862,74.72158113276966,65.16385939609611,35,46.8867303944158,83.44098839777644,30.163859396096115,100.16385939609611,6
13159_300A_1950__Base_Transverse,,,FALSE,72.94554413646561,56.730750736832924,21.04489083252785,36.83252033825129,78.40008959101107,57.942871948954135,,,,,,1950,27.017353579175705,21.656724511930577,3.4540399199541674,6.745677359945079,8,48.67407809110628,38.474360811207035,58.87379537100553,59.6250610942171,35,38.58017026168925,80.66995192674496,24.625061094217102,94.6250610942171,6
13163_153_1949__Base_Transverse,,,FALSE,43.7814768447821,20.352993052849698,6.1228269158073685,31.980155000075374,49.23602229932755,21.56511426497091,,,,,,1940,23.612760979121678,25.664146868250555,1.3664596304473782,7.447279298845369,8,49.27690784737223,40.46316891807948,58.090646776664975,46.20028517832587,35,40.077458262518505,52.323112094133236,11.20028517832587,81.20028517832587,6
13164_300A_1953__Base_Transverse,,,FALSE,74.63411951091618,56.60598432276902,3.825607929921246,6.229273461063968,80.08866496546163,57.81810553489023,,,,,,1950,22.50919117647059,10.358455882352944,3.0205392977001857,5.6385957468005214,8,32.867647058823536,24.208512014322828,41.52678210332424,66.08303691663728,35,62.257428986716036,69.90864484655853,31.083036916637283,101.08303691663728,6
13232_057A_1949__Base_Transverse,,,FALSE,82.99787075656991,61.5753425581714,12.362700975983449,17.904225027101372,96.99787075656991,67.5753425581714,,,,,,1940,25.647058823529406,14.411764705882339,6.9609170934588,11.746428154739787,5,40.05882352941175,21.35147828121316,58.76616877761033,70.51936918275581,35,58.15666820677236,82.88207015873925,35.51936918275581,105.51936918275581,12
13246_119B_1948__Base_,,,FALSE,172.32931583106148,-179.76697034085237,NA,NA,181.32931583106148,-177.76697034085237,,,,,,1940,158.20895522388057,-0,NA,NA,6.7,158.20895522388057,NA,NA,-Inf,NA,NA,NA,NA,NA,2
